,priority,issue_type,resolutiondate,vote_count,comment_count,description_length,summary_length,watch_count,hours_needed,createdYear,createdMonth,createdWeek,createdDay,createdDayofweek,createdDayofyear,createdIs_month_end,createdIs_month_start,createdIs_quarter_end,createdIs_quarter_start,createdIs_year_end,createdIs_year_start,worker_1,worker_2,worker_3,worker_4,number_of_steps,step1,step2,step3,step4,step5,step6,In Progress,Non-existent,Open,Patch Available,Reopened,Resolved,In Progress_Open,index,Open_Patch Available.1,Patch Available_In Progress.1,Open_Resolved.1,Patch Available_Resolved.1,Resolved_Reopened.1,Reopened_Resolved.1,In Progress_Patch Available.1,Patch Available_Open.1,Reopened_Patch Available.1,Open_In Progress.1,In Progress_Resolved.1,In Progress_Open.1,Open_Patch Available.2,Patch Available_In Progress.2,Open_Resolved.2,Patch Available_Resolved.2,Resolved_Reopened.2,Reopened_Resolved.2,In Progress_Patch Available.2,Patch Available_Open.2,Reopened_Patch Available.2,Open_In Progress.2,In Progress_Resolved.2,In Progress_Open.2,projects_in_progress,steps_taken_combined_Non-existent_Open_In Progress_Patch Available_Resolved,steps_taken_combined_Non-existent_Open_In Progress_Patch Available_Resolved_Reopened_Resolved,steps_taken_combined_Non-existent_Open_In Progress_Resolved,steps_taken_combined_Non-existent_Open_Patch Available_In Progress_Patch Available_Resolved,steps_taken_combined_Non-existent_Open_Patch Available_In Progress_Resolved,steps_taken_combined_Non-existent_Open_Patch Available_Patch Available_Resolved,steps_taken_combined_Non-existent_Open_Patch Available_Resolved,steps_taken_combined_Non-existent_Open_Patch Available_Resolved_Reopened,steps_taken_combined_Non-existent_Open_Patch Available_Resolved_Reopened_Resolved,steps_taken_combined_Non-existent_Open_Resolved,steps_taken_combined_Non-existent_Open_Resolved_Reopened,steps_taken_combined_Non-existent_Open_Resolved_Reopened_Patch Available,steps_taken_combined_Non-existent_Open_Resolved_Reopened_Patch Available_Resolved,steps_taken_combined_Non-existent_Open_Resolved_Reopened_Resolved
2164,3.0,2,2009-06-02 19:04:10.508000+00:00,0,0.6,-0.21452702702702703,-1.0740740740740742,-0.5,1292.0,2009,4,15,9,3,99,False,False,False,False,False,False,14,0,0,0,5,1,5,3.0,2.0,0.0,0.0,1,1,1,1,0,1,0.0,avg,52.482426163108386,225.39753164348332,86.35428433878332,30.420024534915573,34.29113421150455,73.29877139659455,0.4548198562375073,20.1977389263545,24.029692631105565,112.3631811581752,12.499116145832625,2.4207240046212704,52.482426163108386,225.39753164348332,86.35428433878332,30.420024534915573,34.29113421150455,73.29877139659455,0.4548198562375073,20.1977389263545,24.029692631105565,112.3631811581752,12.499116145832625,2.4207240046212704,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2165,3.0,1,2009-04-27 20:14:06.572000+00:00,0,0.0,-0.20777027027027026,0.1111111111111111,-1.0,430.0,2009,4,15,9,3,99,False,False,False,False,False,False,14,0,0,0,4,1,5,2.0,0.0,0.0,0.0,1,1,1,0,0,1,1.00376391204,avg,52.482426163108386,225.39753164348332,86.35428433878332,30.420024534915573,34.29113421150455,73.29877139659455,0.4548198562375073,20.1977389263545,24.029692631105565,112.3631811581752,12.499116145832625,2.4207240046212704,52.482426163108386,225.39753164348332,86.35428433878332,30.420024534915573,34.29113421150455,73.29877139659455,0.4548198562375073,20.1977389263545,24.029692631105565,112.3631811581752,12.499116145832625,2.4207240046212704,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2162,3.0,1,2009-04-14 22:12:34.962000+00:00,0,-0.4,0.27533783783783783,-0.5555555555555556,-1.0,94.0,2009,4,15,10,4,100,False,False,False,False,False,False,14,14,0,0,4,1,3,2.0,0.0,0.0,0.0,0,1,1,1,0,1,0.0,avg,52.482426163108386,225.39753164348332,86.35428433878332,30.420024534915573,34.29113421150455,73.29877139659455,0.4548198562375073,20.1977389263545,24.029692631105565,112.3631811581752,12.499116145832625,2.4207240046212704,52.482426163108386,225.39753164348332,86.35428433878332,30.420024534915573,34.29113421150455,73.29877139659455,0.4548198562375073,20.1977389263545,24.029692631105565,112.3631811581752,12.499116145832625,2.4207240046212704,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2163,4.0,1,2009-04-10 23:31:56.052000+00:00,0,0.0,-0.11655405405405406,0.1111111111111111,-1.0,3.0,2009,4,15,10,4,100,False,False,False,False,False,False,14,14,0,0,4,1,3,2.0,0.0,0.0,0.0,0,1,1,1,0,1,0.0,avg,16.278195696154658,70.7601429745,24.50266983888276,33.668017270158074,208.80471991886117,27.86735989003705,0.0,1140.86207931,0.0,61.31108668984999,7.7772860802466655,0.0,16.278195696154658,70.7601429745,24.50266983888276,33.668017270158074,208.80471991886117,27.86735989003705,0.0,1140.86207931,0.0,61.31108668984999,7.7772860802466655,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2159,3.0,1,2009-04-13 09:15:34.014000+00:00,0,-0.6,0.24493243243243243,-0.5185185185185185,-1.0,39.0,2009,4,15,11,5,101,False,False,False,False,False,False,14,14,14,0,3,1,2,0.0,0.0,0.0,0.0,0,1,1,0,0,1,0.0,avg,52.482426163108386,225.39753164348332,86.35428433878332,30.420024534915573,34.29113421150455,73.29877139659455,0.4548198562375073,20.1977389263545,24.029692631105565,112.3631811581752,12.499116145832625,2.4207240046212704,52.482426163108386,225.39753164348332,86.35428433878332,30.420024534915573,34.29113421150455,73.29877139659455,0.4548198562375073,20.1977389263545,24.029692631105565,112.3631811581752,12.499116145832625,2.4207240046212704,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2160,3.0,2,2009-04-14 21:43:08.903000+00:00,0,2.4,0.34121621621621623,1.9259259259259258,-1.0,76.0,2009,4,15,11,5,101,False,False,False,False,False,False,14,14,0,0,4,1,3,2.0,0.0,0.0,0.0,0,1,1,1,0,1,0.0,avg,52.482426163108386,225.39753164348332,86.35428433878332,30.420024534915573,34.29113421150455,73.29877139659455,0.4548198562375073,20.1977389263545,24.029692631105565,112.3631811581752,12.499116145832625,2.4207240046212704,52.482426163108386,225.39753164348332,86.35428433878332,30.420024534915573,34.29113421150455,73.29877139659455,0.4548198562375073,20.1977389263545,24.029692631105565,112.3631811581752,12.499116145832625,2.4207240046212704,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2161,3.0,0,2009-04-15 05:27:21.612000+00:00,0,0.4,-0.47466216216216217,-0.07407407407407407,-1.0,90.0,2009,4,15,11,5,101,False,False,False,False,False,False,14,14,0,0,4,1,3,2.0,0.0,0.0,0.0,0,1,1,1,0,1,0.0,avg,52.482426163108386,225.39753164348332,86.35428433878332,30.420024534915573,34.29113421150455,73.29877139659455,0.4548198562375073,20.1977389263545,24.029692631105565,112.3631811581752,12.499116145832625,2.4207240046212704,52.482426163108386,225.39753164348332,86.35428433878332,30.420024534915573,34.29113421150455,73.29877139659455,0.4548198562375073,20.1977389263545,24.029692631105565,112.3631811581752,12.499116145832625,2.4207240046212704,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2156,3.0,2,2009-05-22 17:48:49.311000+00:00,0,0.0,-0.14189189189189189,-1.1851851851851851,-1.0,933.0,2009,4,16,13,0,103,False,False,False,False,False,False,14,0,0,0,5,1,5,3.0,2.0,0.0,0.0,1,1,1,1,0,1,0.0,avg,52.482426163108386,225.39753164348332,86.35428433878332,30.420024534915573,34.29113421150455,73.29877139659455,0.4548198562375073,20.1977389263545,24.029692631105565,112.3631811581752,12.499116145832625,2.4207240046212704,52.482426163108386,225.39753164348332,86.35428433878332,30.420024534915573,34.29113421150455,73.29877139659455,0.4548198562375073,20.1977389263545,24.029692631105565,112.3631811581752,12.499116145832625,2.4207240046212704,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2157,3.0,2,2009-04-27 20:18:47.701000+00:00,0,-0.2,0.030405405405405407,-0.8518518518518519,-1.0,336.0,2009,4,16,13,0,103,False,False,False,False,False,False,14,0,0,0,3,1,2,0.0,0.0,0.0,0.0,0,1,1,0,0,1,0.0,avg,52.482426163108386,225.39753164348332,86.35428433878332,30.420024534915573,34.29113421150455,73.29877139659455,0.4548198562375073,20.1977389263545,24.029692631105565,112.3631811581752,12.499116145832625,2.4207240046212704,52.482426163108386,225.39753164348332,86.35428433878332,30.420024534915573,34.29113421150455,73.29877139659455,0.4548198562375073,20.1977389263545,24.029692631105565,112.3631811581752,12.499116145832625,2.4207240046212704,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2158,3.0,2,2009-05-11 18:20:24.475000+00:00,0,1.4,-0.22128378378378377,-0.4444444444444444,-1.0,671.0,2009,4,16,13,0,103,False,False,False,False,False,False,14,0,0,0,5,1,5,3.0,2.0,0.0,0.0,1,1,1,1,0,1,0.932970046296,avg,52.482426163108386,225.39753164348332,86.35428433878332,30.420024534915573,34.29113421150455,73.29877139659455,0.4548198562375073,20.1977389263545,24.029692631105565,112.3631811581752,12.499116145832625,2.4207240046212704,52.482426163108386,225.39753164348332,86.35428433878332,30.420024534915573,34.29113421150455,73.29877139659455,0.4548198562375073,20.1977389263545,24.029692631105565,112.3631811581752,12.499116145832625,2.4207240046212704,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
